SORT ID,TEAM NAME,SLOT,ITEM,NAME/DESCRIPTION,MOD REPLACES WITH,FILENAME
1,Washington,Home,Face Protector,"Face Protector Front (TC, matches sleeves)",,70cf006c2ba8aad7-4011ad0f110dacc1-00005994
2,Washington,Home,Face Protector,"Face Protector Top (TC, matches sleeves)",,6b25aad02bc781bb-4011ad0f110dacc1-00005554
3,Washington,Home,Elbow,Bk TC Pad ,,7681550dea5b951d-786eea43f923265f-00005993
4,Washington,Home,Elbow,Wt TC Pad,,7681550dea5b951d-2cdd09212a7e133f-00005993
5,Washington,Home,Elbow,TC Med Band ,TC ¾ Sleeve Top,be85f4bf3d074dba-455acada46558975-00005993
6,Washington,Home,Elbow,TC Thin Band ,TC Elbow Band,be85f4bf3d074dba-c39c78e856ceb54f-00005993
7,Washington,Home,Long Sleeves,TC Long Sleeves ,,8fb789c60161de74-5a7e80182da3a734-00005993
8,Washington,Home,Wrist,Wt QB Wrist ,,3a30272f374c5d47-2cdd09212a7e133f-00005993
9,Washington,Home,Wrist,BK QB Wrist,,3a30272f374c5d47-786eea43f923265f-00005993
10,Washington,Home,Wrist,TC QB Wrist ,,3a30272f374c5d47-5a7e80182da3a734-00005993
11,Washington,Home,Wrist,TC Wrist,,8006ca814728a41c-786eea43f923265f-00005993
12,Washington,Home,Wrist,Wt Half Sleeve ,White ¾ Sleeve Bottom,faf01b33cbdc0f1a-2cdd09212a7e133f-00005993
13,Washington,Home,Wrist,Bk Half Sleeve,Black ¾ Sleeve Bottom,faf01b33cbdc0f1a-786eea43f923265f-00005993
14,Washington,Home,Wrist,TC Half Sleeve ,,faf01b33cbdc0f1a-5a7e80182da3a734-00005993
15,Washington,Home,Shoes,Shoes,,9b96b9191c431b47-e03c8e82cabb29c4-000059d3
16,Washington,Home,Shoes,Shoes w/ White Tape,,adf3868e35b7c0c2-e03c8e82cabb29c4-000059d3
17,Washington,Home,Shoes,Shoes w/ Black Tape,,adf3868e35b7c0c2-fa0039f030ed79ec-000059d3
18,Washington,Home,Shoes,Shoes w/ TC Tape,,adf3868e35b7c0c2-dd654cfadc1bad6b-000059d3
19,Washington,Home,Socks,Socks,,5f3c9e6bedede787-dfe4b43fe5e61d63-000059d4
20,Washington,Home,Helmet,Helmet,,4d47e9e9803d51dd-580103090d014fc4-00005e13
21,Washington,Home,Helmet,Chinstrap,,79750e5caa8c578f-3beae0f0d3f193e5-00005593
22,Washington,Home,Helmet,Pride Sticker,,843cd1f7a8bdcd5d-b5d58d266a9ebe35-00005554
23,Washington,Home,Helmet,"Facemask, Far",,1355c660a739cf04-85cd0f85eaef4b5e-00005554
24,Washington,Home,Helmet,"Facemask, Near",,f970bec6b6d10e14-e040e0597fc08e3c-00005554
25,Washington,Home,Pants,Pants,,ddf8c98816d9bbea-dfbb538a4e7d3a5c-00006213
26,Washington,Home,Jersey,Jersey,,5097031f2c4cf033-75114a848dbbd16c-00006213
27,Washington,Home,Numbers,Num 0-7,,615e543758979143-7c7af47e62cb299c-00006214
28,Washington,Home,Numbers,Num 8-9,,3e484e9f2e680317-7c7af47e62cb299c-00005dd4
29,Washington,Home,Numbers,Num 0-7 shadow,,615e543758979143-c006383c99eb0c44-00006214
30,Washington,Home,Numbers,Num 8-9 shadow,,3e484e9f2e680317-c006383c99eb0c44-00005dd4
31,Washington,Home,Numbers,Helmet Num 0-7,,-
32,Washington,Home,Numbers,Helmet Num 8-9,,-
33,Washington,Home,Numbers,Sleeve/Shoulder Num 0-7,,615e543758979143-88d69c09588ec9f5-00006214
34,Washington,Home,Numbers,Sleeve/Shoulder Num 8-9,,3e484e9f2e680317-88d69c09588ec9f5-00005dd4
